Gmt time,Open,High,Low,Close,Volume
14.04.2019 00:00:00.000,1.13035,1.13072,1.12991,1.13028,10414879882.8125
15.04.2019 00:00:00.000,1.13029,1.13209,1.12975,1.13043,376604968750
16.04.2019 00:00:00.000,1.13044,1.13139,1.12788,1.12845,478236750000
17.04.2019 00:00:00.000,1.12845,1.13237,1.12813,1.12965,394230750000
18.04.2019 00:00:00.000,1.12964,1.13039,1.12261,1.12349,411987187500
19.04.2019 00:00:00.000,1.12349,1.12476,1.12323,1.12408,106163796875
20.04.2019 00:00:00.000,1.12408,1.12408,1.12408,1.12408,0
21.04.2019 00:00:00.000,1.12408,1.12452,1.12373,1.12440,6034609863.2813
22.04.2019 00:00:00.000,1.12440,1.12620,1.12357,1.12584,184842328125
23.04.2019 00:00:00.000,1.12585,1.12612,1.11921,1.12237,366794093750
24.04.2019 00:00:00.000,1.12239,1.12241,1.11406,1.11533,396092937500
25.04.2019 00:00:00.000,1.11534,1.11623,1.11178,1.11353,346843250000
26.04.2019 00:00:00.000,1.11353,1.11739,1.11111,1.11429,341314093750
27.04.2019 00:00:00.000,1.11429,1.11429,1.11429,1.11429,0
28.04.2019 00:00:00.000,1.11441,1.11516,1.11441,1.11494,8087259765.625
29.04.2019 00:00:00.000,1.11494,1.11869,1.11450,1.11848,285596437500
30.04.2019 00:00:00.000,1.11847,1.12290,1.11757,1.12157,320017562500
01.05.2019 00:00:00.000,1.12157,1.12647,1.11870,1.12024,243803093750
02.05.2019 00:00:00.000,1.12023,1.12190,1.11707,1.11729,302647875000
03.05.2019 00:00:00.000,1.11728,1.12047,1.11350,1.12007,332884156250
04.05.2019 00:00:00.000,1.12007,1.12007,1.12007,1.12007,0
05.05.2019 00:00:00.000,1.11799,1.12003,1.11672,1.11846,20415490234.375
06.05.2019 00:00:00.000,1.11846,1.12092,1.11790,1.12010,307459687500
07.05.2019 00:00:00.000,1.12011,1.12178,1.11666,1.11895,342101750000
08.05.2019 00:00:00.000,1.11893,1.12136,1.11827,1.11977,370041218750
09.05.2019 00:00:00.000,1.11977,1.12509,1.11734,1.12184,410143593750
10.05.2019 00:00:00.000,1.12185,1.12536,1.12177,1.12329,366677156250
11.05.2019 00:00:00.000,1.12329,1.12329,1.12329,1.12329,0
12.05.2019 00:00:00.000,1.12320,1.12408,1.12299,1.12357,10570269531.25
13.05.2019 00:00:00.000,1.12358,1.12635,1.12191,1.12320,330177500000
14.05.2019 00:00:00.000,1.12320,1.12439,1.12011,1.12032,312740968750
15.05.2019 00:00:00.000,1.12031,1.12245,1.11779,1.12068,344234031250
16.05.2019 00:00:00.000,1.12069,1.12238,1.11662,1.11731,330368437500
17.05.2019 00:00:00.000,1.11730,1.11841,1.11551,1.11563,348250187500
18.05.2019 00:00:00.000,1.11563,1.11563,1.11563,1.11563,0
19.05.2019 00:00:00.000,1.11598,1.11666,1.11598,1.11646,9331110351.5625
20.05.2019 00:00:00.000,1.11646,1.11748,1.11506,1.11673,305009750000
21.05.2019 00:00:00.000,1.11673,1.11880,1.11419,1.11643,333000625000
22.05.2019 00:00:00.000,1.11643,1.11802,1.11485,1.11552,286002500000
23.05.2019 00:00:00.000,1.11553,1.11875,1.11070,1.11841,368229406250
24.05.2019 00:00:00.000,1.11841,1.12121,1.11771,1.12043,308644000000
25.05.2019 00:00:00.000,1.12043,1.12043,1.12043,1.12043,0
26.05.2019 00:00:00.000,1.12091,1.12116,1.12067,1.12068,8195250000
27.05.2019 00:00:00.000,1.12067,1.12151,1.11869,1.11934,192217218750
28.05.2019 00:00:00.000,1.11933,1.11983,1.11592,1.11681,306191000000
29.05.2019 00:00:00.000,1.11682,1.11724,1.11243,1.11366,354138312500
30.05.2019 00:00:00.000,1.11365,1.11433,1.11160,1.11295,300563125000
31.05.2019 00:00:00.000,1.11295,1.11797,1.11251,1.11678,412709281250
01.06.2019 00:00:00.000,1.11678,1.11678,1.11678,1.11678,0
02.06.2019 00:00:00.000,1.11607,1.11741,1.11607,1.11736,11255419921.875
03.06.2019 00:00:00.000,1.11736,1.12619,1.11601,1.12457,373774812500
04.06.2019 00:00:00.000,1.12458,1.12774,1.12267,1.12536,410688750000
05.06.2019 00:00:00.000,1.12535,1.13065,1.12200,1.12286,399166218750
06.06.2019 00:00:00.000,1.12286,1.13090,1.12008,1.12755,363147406250
07.06.2019 00:00:00.000,1.12756,1.13477,1.12512,1.13334,347017187500
08.06.2019 00:00:00.000,1.13334,1.13334,1.13334,1.13334,0
09.06.2019 00:00:00.000,1.13220,1.13308,1.13143,1.13190,10583679687.5
10.06.2019 00:00:00.000,1.13190,1.13243,1.12902,1.13179,319896625000
11.06.2019 00:00:00.000,1.13179,1.13374,1.13013,1.13295,358230843750
12.06.2019 00:00:00.000,1.13295,1.13434,1.12824,1.12924,374913312500
13.06.2019 00:00:00.000,1.12924,1.13037,1.12683,1.12795,353159968750
14.06.2019 00:00:00.000,1.12794,1.12891,1.12024,1.12050,344535562500
15.06.2019 00:00:00.000,1.12050,1.12050,1.12050,1.12050,0
16.06.2019 00:00:00.000,1.12089,1.12172,1.12088,1.12155,9786540039.0625
